"date","log_return"
2010-01-05,0.0144973466913124
2010-01-06,0.00637589205360323
2010-01-07,-0.0197917206532071
2010-01-08,0.00215848211425007
2010-01-11,-0.0141153131616591
2010-01-12,-0.0344861536231001
2010-01-13,0.0134907546038653
2010-01-14,-0.0157570025814607
2010-01-15,-0.0299391052641879
2010-01-19,0.0185299572164394
2010-01-20,-0.00402409435503259
2010-01-21,-0.0180185681410472
2010-01-22,-0.0352171545982051
2010-01-25,0.0168680286392431
2010-01-26,-0.032172665061941
2010-01-27,0.0267817018149523
2010-01-28,-0.0342123419540445
2010-01-29,-0.0444795599306682
2010-02-01,0.0738754488471374
2010-02-02,0.0102074162845641
2010-02-03,0.0083284630322763
2010-02-04,-0.059810094422297
2010-02-05,0.0199254874534731
2010-02-08,-0.00185118668020945
2010-02-09,-0.0080618892581702
2010-02-10,0.0191183493471163
2010-02-11,0.0447976383744456
2010-02-12,0.0133446029797823
2010-02-16,0.0182758136539687
2010-02-17,0.00957486507188998
2010-02-18,-0.0678321255842954
2010-02-19,-0.00541373898206932
2010-02-22,0.00180807295084884
2010-02-23,-0.0243769229987009
2010-02-24,0.0207578162835808
2010-02-25,-0.00910485417445961
2010-02-26,-0.0122701845931266
2010-03-01,0.0393394548073402
2010-03-02,-0.000593540490980704
2010-03-03,-0.012548773827468
2010-03-04,0.00180248572429043
2010-03-05,0.0301529562668092
2010-03-08,-0.0146671802509437
2010-03-09,0.0365575338667167
2010-03-10,0.00227656634206974
2010-03-11,-0.023002759306011
2010-03-12,0.00348407087191283
2010-03-15,-0.00523055528766248
2010-03-16,0.0343673721779606
2010-03-17,0.0189631746606587
2010-03-18,-0.0359993774105737
2010-03-19,-0.0121006141403831
2010-03-22,0.0161017070152751
2010-03-23,0.0203282618930357
2010-03-24,-0.0341137799961644
2010-03-25,0.00288789976318515
2010-03-26,0
2010-03-29,0.0126076425595898
2010-03-30,0.00397827881007962
2010-03-31,-0.01313178811252
2010-04-01,-0.0103985512689996
2010-04-05,0.0149857048456686
2010-04-06,-0.0249071760079773
2010-04-07,0.00643124521116478
2010-04-08,-0.0164519081378505
2010-04-09,0.0064954219900446
2010-04-12,0.0180815530362863
2010-04-13,0.0205956841395932
2010-04-14,0.0123806012511509
2010-04-15,0.00724438193272481
2010-04-16,-0.0541906709923126
2010-04-19,-0.00470027410802631
2010-04-20,0.00352731328717082
2010-04-21,-0.0261608828501155
2010-04-22,0.00420833324918768
2010-04-23,-0.0138935381743084
2010-04-26,0.0096852049251207
2010-04-27,-0.0287218490147104
2010-04-28,0.00185838820536854
2010-04-29,0.0298709068435605
2010-04-30,-0.0581126971558794
2010-05-03,-0.0108799679573093
2010-05-04,-0.0521745212033289
2010-05-05,-0.0170940944528182
2010-05-06,-0.0209067934286291
2010-05-07,-0.0170459202677096
2010-05-10,0.0420817174599697
2010-05-11,-0.0110496327893455
2010-05-12,0.0192579949672818
2010-05-13,-0.00204593788556751
2010-05-14,-0.122572321938123
2010-05-17,0.00231192127733326
2010-05-18,-0.0336624748038332
2010-05-19,0.0157978232041081
2010-05-20,-0.0237913726863865
2010-05-21,0.0214373210021002
2010-05-24,-0.0294963344496442
2010-05-25,0.0263497734273641
2010-05-26,0.00471664635239977
2010-05-27,0.0571580852604823
2010-05-28,-0.027027977125071
2010-06-01,-0.0435528528651004
2010-06-02,0.0110672535017147
2010-06-03,-0.00157358617783854
2010-06-04,-0.0483962591208587
2010-06-07,-0.050858671377914
2010-06-08,-0.028220729845557
2010-06-09,-0.0244465961449243
2010-06-10,0.0395383677427816
2010-06-11,0.0226485693064231
2010-06-14,-0.0217687464691509
2010-06-15,0.0481197023045787
2010-06-16,-0.0126641930612921
2010-06-17,0.0375201868670108
2010-06-18,0.00652561207874647
2010-06-21,-0.0238599065199276
2010-06-22,-0.038188704204352
2010-06-23,0.0111826793139669
2010-06-24,-0.0508878647026922
2010-06-25,-0.00270390152549838
2010-06-28,0.00180333502801422
2010-06-29,-0.0574761444214176
2010-06-30,-0.0261010288545209
2010-07-01,0.016513157661336
2010-07-02,-0.0126032842724879
2010-07-06,-0.0107897305635953
2010-07-07,0.0471922268791762
2010-07-08,-0.0305659487772314
2010-07-09,0.00387227578023142
2010-07-12,0.0181912130814501
2010-07-13,0.0354182509830885
2010-07-14,0.0100227071860408
2010-07-15,-0.0285078423940515
2010-07-16,-0.0645383068707495
2010-07-19,0.0399859392771897
2010-07-20,0.0245523675935597
2010-07-21,-0.0331939248106499
2010-07-22,0.016260809035572
2010-07-23,-0.0172255452511108
2010-07-26,0.0181733205285692
2010-07-27,-0.00856702709594037
2010-07-28,-0.0320573371912227
2010-07-29,-0.103935389944161
2010-07-30,0.00655026167257811
2010-08-02,-0.00108874683818394
2010-08-03,-0.0264916971925984
2010-08-04,0.041627050747103
2010-08-05,0.0127931156076475
2010-08-06,0.0115853377343165
2010-08-09,0.00938008504630305
2010-08-10,-0.0423792615033782
2010-08-11,-0.0397403077332559
2010-08-12,0.00896872161977091
2010-08-13,0.0468752162076449
2010-08-16,-0.0258916313855586
2010-08-17,0.0130296805512018
2010-08-18,0.00537904385530807
2010-08-19,0.0583497525972352
2010-08-20,0.00906819932089986
2010-08-23,-0.0151594761486475
2010-08-24,-0.0102353800767849
2010-08-25,0.020367254282224
2010-08-26,-0.0121705067326869
2010-08-27,0.0321310099609913
2010-08-30,-0.0485923148149638
2010-08-31,-0.0326861372745775
2010-09-01,0.00747477818950393
2010-09-02,0.0179234222450126
2010-09-03,0.0339014248755016
2010-09-07,0.00904989704330195
